FID,Id,ORIG_FID,FID_FTroad,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Leng,level,Shape_Le_1,POINT_X,POINT_Y
697,0,1228,2078,996657787,5114,secondary,白石路, ,F,0,0,F,F,0.002339429,1,0.002331598,114.0044162,22.53343176
698,0,1233,262,41019786,5112,trunk,皇岗路, ,F,0,0,F,F,0.00895032,1,0.002026745,114.0681773,22.53325086
699,0,1233,262,41019786,5112,trunk,皇岗路, ,F,0,0,F,F,0.00895032,1,0.002026745,114.0681631,22.53422448
700,0,1234,263,41019787,5132,trunk_link,滨河皇岗立交, ,F,0,0,F,F,0.003406798,1,0.003444653,114.0695589,22.53257764
701,0,1234,263,41019787,5132,trunk_link,滨河皇岗立交, ,F,0,0,F,F,0.003406798,1,0.003444653,114.0688344,22.53322819
702,0,1234,263,41019787,5132,trunk_link,滨河皇岗立交, ,F,0,0,F,F,0.003406798,1,0.003444653,114.0682495,22.53397405
703,0,1235,2075,996657784,5114,secondary,白石路, ,F,0,0,F,F,0.004484603,1,0.004461714,114.0097342,22.53393728
704,0,1235,2075,996657784,5114,secondary,白石路, ,F,0,0,F,F,0.004484603,1,0.004461714,114.0087673,22.53405254
705,0,1235,2075,996657784,5114,secondary,白石路, ,F,0,0,F,F,0.004484603,1,0.004461714,114.0078004,22.53416776
706,0,1235,2075,996657784,5114,secondary,白石路, ,F,0,0,F,F,0.004484603,1,0.004461714,114.0068321,22.53426552
707,0,1236,678,260313741,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.006727732,1,0.00404332,114.0783606,22.53354691
708,0,1236,678,260313741,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.006727732,1,0.00404332,114.0778981,22.53269005
709,0,1236,678,260313741,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.006727732,1,0.00404332,114.0772201,22.53200688
710,0,1236,678,260313741,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.006727732,1,0.00404332,114.0762945,22.53173624
711,0,1237,986,546581816,5115,tertiary,泰然九路, ,F,0,0,F,F,0.005733038,1,0.001294581,114.0199007,22.53343925
712,0,1240,478,135906440,5115,tertiary,泰然六路, ,F,0,0,F,F,0.009314689,1,0.002047388,114.0187191,22.53425852
713,0,1240,478,135906440,5115,tertiary,泰然六路, ,F,0,0,F,F,0.009314689,1,0.002047388,114.0177584,22.5340998
714,0,1243,985,546581813,5134,secondary_link, , ,F,0,0,F,F,0.001088168,1,0.001122764,114.010849,22.53383973
